id	vin	make	model	year
1	3N6CM0KN6FK202799	Subaru	Impreza	2009
2	WBAYE8C59DD531364	Saab	9-3	2012
3	5N1AA0NC6FN834589	Buick	Century	1984
4	1FTFW1E88AF821081	GMC	Savana 3500	1996
5	1G6DJ8EY3B0571371	Mitsubishi	Diamante	2000
6	WAULFAFR1CA397799	Mazda	Tribute	2005
7	5N1AR2MM5FC619134	Chevrolet	Suburban 2500	2007
8	KMHDB8AE4AU112634	Porsche	Cayman	2008
9	WAUDGAFL3AA402530	Pontiac	Vibe	2010
10	JTHSE5BC6F5822486	Lexus	GS	1995
11	1N6AF0LX7FN259119	Hyundai	Genesis	2012
12	3VW1K7AJ9CM299372	Lexus	ES	2004
13	WAUXU54B22N379341	Toyota	Sequoia	2002
14	WA1CGAFE0BD067172	GMC	Sierra 1500	2007
15	WBAPT73559C243284	Audi	A6	2007
16	JM1NC2LF7D0536877	Ford	Taurus	1990
17	JH4DB859X1S414358	Subaru	Justy	1991
18	WBSPM9C58BE238658	Oldsmobile	98	1993
19	KL4CJHSB4DB887002	Volkswagen	Jetta	1989
20	1D7RB1CT5AS251086	Chevrolet	Prizm	2001
21	5N1AZ2MG4FN475963	Nissan	Cube	2010
22	3GTU2YEJ0BG158977	Volkswagen	Jetta	1987
23	1C3CDFEB6FD061003	Nissan	Murano	2011
24	WAUVC58E04A017436	Ford	Mustang	1970
25	WBSDE93443C020043	Isuzu	Trooper	1999
26	1FMJK1F53CE215251	Chevrolet	SSR	2004
27	WAUMFAFL7DN834778	Toyota	Corolla	2012
28	WBAKB4C58BC375358	GMC	Savana 3500	2001
29	2T1KU4EE8BC998237	Plymouth	Voyager	1999
30	5J6TF1H32EL482034	Dodge	Ram 2500	2009
31	WA1CMAFE0AD677886	BMW	X5	2001
32	WAURV78T79A597121	Chevrolet	Tahoe	2009
33	YV140MAM5F1559325	Mercury	Cougar	1990
34	5TDBKRFH8FS575988	Chevrolet	Caprice	1996
35	WBANW5C51AC863623	Pontiac	Sunbird	1987
36	3TMJU4GN9EM080355	BMW	X3	2004
37	WA1CYAFE3AD562817	BMW	7 Series	1999
38	1G6AE5SX3F0293286	Porsche	911	2001
39	WAUJT58E64A435823	Dodge	D350 Club	1993
40	WAUFFAFC6EN886266	Cadillac	Allante	1993
41	1G6DG8EY7B0278751	Dodge	Caliber	2012
42	YV4952CY0C1358099	Volvo	S70	1999
43	1G6KF57923U852102	Honda	CR-V	1997
44	3C4PDCGB2ET485599	Porsche	Cayman	2009
45	WBAYB6C55FG041180	Suzuki	Vitara	2003
46	WAUVT54B34N087422	Chrysler	300M	2001
47	1G4GE5G38CF861985	Mazda	MX-3	1993
48	KNAFK4A69F5584681	Porsche	968	1994
49	WBXPA93485W824110	Mercury	Tracer	1999
50	3VW4S7AT7EM498230	Pontiac	LeMans	1993
51	WAUDGBFL3BA956576	Geo	Metro	1994
52	1G6DV1EP7D0335196	Nissan	Frontier	2000
53	1GT01ZCG4CF842951	Mitsubishi	Eclipse	2009
54	WP1AA2A20CL435595	Ford	Th!nk	2002
55	KNAFU6A29D5116756	Ford	E350	2012
56	1C4RDJEG5EC883493	GMC	Savana 3500	1997
57	5TDBKRFH5FS557559	Cadillac	Escalade	2007
58	WA1WMBFE5FD072367	Acura	Integra	1996
59	JM1NC2JF7C0507137	Acura	NSX	1994
60	3N1BC1CP2CK405470	Dodge	Grand Caravan	2002
61	WBAUN13509V728561	Lexus	LX	1999
62	5J8TB18228A339899	Isuzu	VehiCROSS	1999
63	1G4GC5G32FF073715	Chevrolet	Corvette	1967
64	1G4HC5EM7BU979185	Hummer	H1	1998
65	3C4PDCBB1DT955451	BMW	5 Series	2011
66	SCFEDCAD3CG272679	Subaru	Impreza	1996
67	WA1WGAFPXEA069189	GMC	1500 Club Coupe	1996
68	WAULT58EX2A415533	Land Rover	Range Rover	1992
69	WBAWC33517P098769	Mercedes-Benz	CL-Class	2000
70	2G4WF551641028303	Acura	TL	2006
71	JTEBU5JR3A5054612	Aston Martin	DB9	2010
72	WAUEF78E58A461095	Dodge	D150	1992
73	WBAWL73588P879071	Volkswagen	Golf	2012
74	WBAAZ33463K177989	Ford	Escape	2007
75	SCBBR9ZA5DC459790	Jeep	Liberty	2009
76	1LNHL9DK6EG451485	Mercedes-Benz	S-Class	1987
77	WUAYU48H38K933290	Kia	Sorento	2004
78	WAUNF98P87A303376	Ford	Explorer	1997
79	KL4CJCSB2FB052540	Subaru	Brat	1985
80	SCFEBBBKXBG239027	Dodge	Ram	1994
81	JM1DE1KY6E0906978	Nissan	Altima	2010
82	2G4WD552071692521	Dodge	Ram 2500	2000
83	WAUVFAFR8DA116043	Eagle	Premier	1992
84	2T3BFREV2FW685137	Audi	Cabriolet	1996
85	1FAHP2DW3CG173991	GMC	1500 Club Coupe	1993
86	WAUZL64B41N687479	Chevrolet	Silverado 3500	2010
87	1D7RW3BK8AS022605	Isuzu	Amigo	1994
88	1GYFK26259R514308	Mercedes-Benz	M-Class	2012
89	JN8AE2KP6F9512771	Buick	LeSabre	2003
90	2C3CCABG1FH367390	Oldsmobile	Bravada	2002
91	1D7RV1GP2AS682117	Ford	Aspire	1995
92	2G4GR5GX3F9981603	Toyota	Sienna	2009
93	3VW517AT0EM263160	Mitsubishi	3000GT	1993
94	1FTEW1CM1DF428216	Ford	Escort	1992
95	2FMPK3K95FB497245	Chevrolet	Blazer	2002
96	WAUJT68E33A695780	Porsche	911	2009
97	1G6DZ67A080930021	Aston Martin	Rapide	2010
98	3D7TP2HT1AG506538	Suzuki	Grand Vitara	2009
99	3VW1K7AJ7EM176902	Dodge	Caravan	2006
100	19XFA1E37AE300241	Land Rover	Discovery Series II	2001
101	WAUKFBFL7EA259376	Maserati	Spyder	1991
102	JTEBU4BF4BK758691	Dodge	Ram Van 2500	1998
103	1G6DH5E57C0564974	Nissan	Frontier	2005
104	JN1CV6AP8AM409258	Suzuki	Sidekick	1990
105	JTEBU4BF2CK717123	Porsche	Cayenne	2008
106	1FMEU3DE4AU170219	Infiniti	I	2003
107	WBAWB3C54AP021145	Chevrolet	Blazer	1996
108	1GT010CG9CF474696	Buick	Riviera	1979
109	JN8AZ1MU3DW849320	Suzuki	Reno	2006
110	WAUZL64BX1N957234	Acura	RL	2007
111	WP1AA2A28EL565787	Dodge	Journey	2009
112	WAUGGAFC8CN689632	Lexus	GS	1993
113	JM1GJ1T69F1296639	Ford	Bronco II	1984
114	2G4WE587861532874	Nissan	280ZX	1979
115	1G6DS57V480953299	Lexus	LX	1996
116	WA1YD64B13N606351	Subaru	Legacy	2010
117	19XFA1E66AE871746	Ferrari	F430	2008
118	WBANF73507C917529	Land Rover	Discovery	2005
119	WAUBFAFL9AA204545	GMC	Safari	1996
120	KMHHT6KJ5FU380596	Buick	Skylark	1994
